delta_threshold,row_spike_threshold,topk,mse,rel_l2,quality_loss_pct,row_update_fraction,attention_kept_fraction,sparsity,energy_gain_proxy,attention_mean_abs_delta,value_compute_proxy,dense_score_std,dense_weight_entropy
0.3,2,2,0.09446264060623154,0.0814733636182452,8.14733636182452,0.7265625,0.181640625,0.818359375,5.505376344086022,0.1196520360593051,0.181640625,15.154670777671633,0.2329897110377348
0.3,2,3,0.06900949393280748,0.06963699578973077,6.963699578973078,0.7265625,0.2724609375,0.7275390625,3.6702508960573477,0.08400876028303614,0.2724609375,15.154670777671633,0.2329897110377348
0.3,3,1,0.9255047459296822,0.2550204047596654,25.502040475966542,0.5,0.0625,0.9375,16.0,0.4314916550218829,0.0625,15.154670777671633,0.2329897110377348
0.3,3,2,0.2538447067891145,0.1335579245324412,13.35579245324412,0.5,0.125,0.875,8.0,0.2209016152048797,0.125,15.154670777671633,0.2329897110377348
0.3,3,3,0.22306862550550097,0.12520015060072995,12.520015060072994,0.5,0.1875,0.8125,5.333333333333333,0.1893770303565396,0.1875,15.154670777671633,0.2329897110377348
0.3,4,1,0.7860259351507807,0.2350195788127955,23.50195788127955,0.3359375,0.0419921875,0.9580078125,23.813953488372093,0.42708777158540867,0.0419921875,15.154670777671633,0.2329897110377348
0.3,4,2,0.24399344730982936,0.13094070870816732,13.094070870816733,0.3359375,0.083984375,0.916015625,11.906976744186046,0.2504665490985012,0.083984375,15.154670777671633,0.2329897110377348
0.3,4,3,0.1963808972699047,0.11747223338377881,11.74722333837788,0.3359375,0.1259765625,0.8740234375,7.937984496124031,0.22405747693585146,0.1259765625,15.154670777671633,0.2329897110377348
0.4,1,1,0.6694932803223423,0.21689958288401937,21.689958288401936,0.71875,0.08984375,0.91015625,11.130434782608695,0.3646388969736195,0.08984375,15.154670777671633,0.2329897110377348
0.4,1,2,0.1253088206186006,0.09383749957332556,9.383749957332556,0.71875,0.1796875,0.8203125,5.565217391304348,0.12550053423246443,0.1796875,15.154670777671633,0.2329897110377348
0.4,1,3,0.0990781412253442,0.0834400452244938,8.34400452244938,0.71875,0.26953125,0.73046875,3.710144927536232,0.0953000685894965,0.26953125,15.154670777671633,0.2329897110377348
0.4,2,1,0.7406228712464811,0.22813092706802685,22.813092706802685,0.4765625,0.0595703125,0.9404296875,16.78688524590164,0.40357565250727256,0.0595703125,15.154670777671633,0.2329897110377348
0.4,2,2,0.21394570382215042,0.12261324621415082,12.261324621415081,0.4765625,0.119140625,0.880859375,8.39344262295082,0.21602746206552986,0.119140625,15.154670777671633,0.2329897110377348
0.4,2,3,0.18152962214005208,0.11294300992292532,11.294300992292532,0.4765625,0.1787109375,0.8212890625,5.595628415300546,0.19058653945817441,0.1787109375,15.154670777671633,0.2329897110377348
0.4,3,1,1.117379788801124,0.28021153644059815,28.021153644059815,0.2578125,0.0322265625,0.9677734375,31.03030303030303,0.48638292508992403,0.0322265625,15.154670777671633,0.2329897110377348
0.4,3,2,0.4976971373900583,0.18701144117293736,18.701144117293737,0.2578125,0.064453125,0.935546875,15.515151515151516,0.3205535877528993,0.064453125,15.154670777671633,0.2329897110377348
0.4,3,3,0.45980600205837585,0.17975166574662227,17.975166574662225,0.2578125,0.0966796875,0.9033203125,10.343434343434344,0.2959787563765362,0.0966796875,15.154670777671633,0.2329897110377348
0.4,4,1,1.1362112566142,0.28256290667738654,28.256290667738654,0.1875,0.0234375,0.9765625,42.666666666666664,0.4896902772838634,0.0234375,15.154670777671633,0.2329897110377348
0.4,4,2,0.5403429457322934,0.1948589458057713,19.485894580577128,0.1875,0.046875,0.953125,21.333333333333332,0.3361292089474544,0.046875,15.154670777671633,0.2329897110377348
0.4,4,3,0.47366731520996885,0.18244094560906893,18.24409456090689,0.1875,0.0703125,0.9296875,14.222222222222221,0.3105657272618937,0.0703125,15.154670777671633,0.2329897110377348
0.5,1,1,0.7616648296375346,0.2313489627883739,23.13489627883739,0.5390625,0.0673828125,0.9326171875,14.840579710144928,0.3952810022979196,0.0673828125,15.154670777671633,0.2329897110377348
0.5,1,2,0.17134169110318503,0.10972791578794958,10.972791578794958,0.5390625,0.134765625,0.865234375,7.420289855072464,0.19078759460099048,0.134765625,15.154670777671633,0.2329897110377348
0.5,1,3,0.14111325993785606,0.09957940295795317,9.957940295795318,0.5390625,0.2021484375,0.7978515625,4.946859903381642,0.1650873648349224,0.2021484375,15.154670777671633,0.2329897110377348
0.5,2,1,0.9264660571548553,0.2551528137787445,25.515281377874448,0.3125,0.0390625,0.9609375,25.6,0.45221543928229135,0.0390625,15.154670777671633,0.2329897110377348
0.5,2,2,0.34727364487616197,0.15621456301604725,15.621456301604725,0.3125,0.078125,0.921875,12.8,0.2818956161260507,0.078125,15.154670777671633,0.2329897110377348
0.5,2,3,0.280168575590335,0.14031216206439107,14.031216206439106,0.3125,0.1171875,0.8828125,8.533333333333333,0.2546117915087164,0.1171875,15.154670777671633,0.2329897110377348
0.5,3,1,1.1367308844607256,0.28262751207994075,28.262751207994075,0.1796875,0.0224609375,0.9775390625,44.52173913043478,0.4910814391184648,0.0224609375,15.154670777671633,0.2329897110377348
0.5,3,2,0.5409900318903671,0.1949755872835144,19.497558728351443,0.1796875,0.044921875,0.955078125,22.26086956521739,0.33792255282306977,0.044921875,15.154670777671633,0.2329897110377348
